PresentationID|Seq|Year|Source|First Name|Middle|Last Name|Organization|City|State|Country|Email|CoAuthor
12933433|1|02/04/2015|Medmeme|Shane W.||Adams|SFSU, 37 Reed Blvd #7|Mill Valley, CA 94941||||Kim_Y.:Wright_C.W.:Lobdell_D.T.:Bowler_R.M.
12896172|1|02/02/2015|Medmeme|A.||Aekka|Michigan State University, College Of Human Medicine|Lansing, MI||United States||Hollis_M. V.:Boudiab_E. M.:Laput_G. P.:Purohit_H.:Vyas_A. K.:Vyas_D.
12895117|1|02/21/2015|Medmeme|Shubhangi||Agarwal|Arizona State Univ.|||United States||Vidya Shankar_Rohini:Inge_Landon J.:Kodibagkar_Vikram D.
12895183|1|02/21/2015|Medmeme|Faranak||Aghaei|The Univ. of Oklahoma|||United States||Tan_Maxine:Zheng_Bin
12917331|1|02/28/2015|Medmeme|F.||Ahmed|University of Colorado School of Medicine|Superior, CO||United States||Gupta_R.
12936110|1|03/23/2015|Medmeme|Tena||Alonzo|Research & Dementia Programs, Beatitudes Campus of Care|||||Cisek_Edward:Downes_Deirdre:Harper_Karen:Herel_Robert:Wyatt_Ann
12933546|1|02/04/2015|Medmeme|Michael||Alosco|Kent State University, 4710 Waterford Circle|Stow, OH 44224||||Spitznagel_M.:Cohen_R.A.:Sweet_L.H.:Hayes_S.M.:Josephson_R.:Hughes_J.:Gunstad_J.
12885780|1|01/15/2015|Medmeme|Adam||Amlani|BC Cancer Agency|Vancouver, BC||Canada||Kumar_Aalok:Cheung_Winson Y.
12924566|1|12/02/2012|Medmeme|Sally||Amos|BC Cancer Agency|Victoria||Canada||de Leeuw_Ron:Kuklev_Nikita:Kakal_Juzer:Babinsky_Sindy:Milne_Katy:Kost_Sara:Freeman_Doug:Holt_Rob:Watson_Peter:Nelson_Brad
12924843|1|10/16/2012|Medmeme|Abegail||Andaya|United States Military Cancer Institute, Cancer Center, Walter Reed National Military Medical Center|Bethesda, MD||||Enewold_Lindsey:Zahm_Shelia H.:Shriver_Craig D.:Warren_Joan:Stojadinovic_Alexander:McGlynn_Katherine:Zhu_Kangmin
12941400|1|02/18/2015|Medmeme|Kelsey||Anderson|Oklahoma State University, Physiology|||||
12942334|1|02/05/2015|Medmeme|Fadi||Aramouni|KANSAS STATE UNIVERSITY|||||
12933186|1|02/04/2015|Medmeme|Peter||Arnett|Psychology, Penn State University, 352 Moore Building|University Park, PA 16802||||Merritt_V.C.:Meyer_J.:Cadden_M.:Ukueberuwa_D.
12931800|1|02/19/2015|Medmeme|J.||Bal|University of Alberta, Gastroenterology|Edmonton||Canada||Foshaug_R.:Ambrosio_L.:Kroeker_K.I.:Dieleman_L.:Halloran_B.:Fedorak_R.N.:Huang_V.W.
12885905|1|01/15/2015|Medmeme|Ashley||Baldwin|Western Regional Medical Center, Cancer Treatment Centers of America|Goodyear, AZ||||Kundranda_Madappa N.:Todd_Eric:Whitehead_Robert P.:Winston_Rachel:Weber_Jeffery:Weitz_David J:Kelly_Melinda:Kachaamy_Toufic
12922025|1|02/04/2015|Medmeme|Nick||Bansback|University of British Columbia/ Arthritis Research Centre of Canada|Vancouver||||Lacaille_Diane:Shojania_Kam:Guh_Daphne:Anis_Aslam
12894769|1|02/12/2015|Medmeme|Rachelle M.||Bassen|Biology, New Mexico State University|Las Cruces, NM||||
12922433|1|12/18/2014|Medmeme|Ali||Bayram|Firat University Elazig High School of Health Sciences|||Turkey||Yiğiter_Remzi
12920717|1|10/27/2012|Medmeme|Eric||Belasco|Montana State University|Bozeman, MT||||Wilkes_Ethan:Pence_Barbara
12920158|1|09/18/2013|Medmeme|Jimmy||Belotte|Wayne State University|Detroit, MI||||Fletcher_Nicole:Awonuga_Awoniyi:Alexis_Mitchell:Abu-soud_Husam:Diamond_Michael:Saed_Mohammed:Saed_Ghassan
12908114|1|12/05/2014|Medmeme|B.||Binjawadagi|Food Animal Health Research Program (FAHRP), OARDC, The Ohio State University, Wooster OH 44691|||||Longchao_Z.:Dhakal_S.:Hiremath_J.:Ouyang_K.:Shyu_B.:Torrelles_J.B.:Jackwood_D.:Fang_Y.:Renukaradhya_G.J.
12931768|1|02/19/2015|Medmeme|K.||Boland|St Vincent's University Hospital, Department of Gastroenterology|Dublin 4||Ireland||Kelly_O.:Keegan_D.:Sheahan_K.:Mulcahy_H.:Cullen_G.:Doherty_G.A.
12936455|1|03/23/2015|Medmeme|Kenneth||Brummel-Smith|Florida State University College of Medicine|||||Doyle_Patrick:Fazio_Sam:Greenlee_Kathy:Love_Karen:Maslow_Katie:Mast_Benjamin:Morhardt_Darby:Ortigara_Anna:Zeisel_John
12900435|1|09/03/2014|Medmeme|Alison||Burgess|Sunnybrook Research Institute|||Canada||Dubey_Sonam:Aubert_Isabelle:Hynynen_Kullervo
12895115|1|02/21/2015|Medmeme|Kunlin||Cao|GE Global Research|||United States||Bhagalia_Roshni:Sood_Anup:Brogi_Edi:Mellinghoff_Ingo K.:Larson_Steven M.
12921920|1|02/04/2015|Medmeme|Erin||Carruthers|Arthritis Research Centre of Canada|Vancouver||||Osaimi_Noura AL:Goldsmith_Charles:Adam_Paul:Lacaille_Diane
12909778|1|11/10/2013|Medmeme|Nani||Carvalho|Universidade Federal Do Amazonas, UFAM|AM||Brazil||Siqueira_Ivens:Felipe Cruz Filho_Raimundo
12895243|1|02/21/2015|Medmeme|Juan J.||Cerrolaza|Children's National Medical Ctr.|||United States||Peng_Jennifer Q.:Safdar_Nabile M.:Conklin_Laurie:Sze_Raymond W.:George Linguraru_Marius
12895235|1|02/21/2015|Medmeme|Baishali||Chaudhury|Univ. of South Florida|||United States||Zhou_Mu:Goldgof_Dmitry B.:Hall_Lawrence O.:Gatenby_Robert A.:Gillies_Robert J.:Drukteinis_Jennifer S.
12922721|1|04/09/2014|Medmeme|C.||Cheeseman|Department of Physiology, University of Alberta|Edmonton, AB T6G 2H7||Canada||O'Neill_D.:Wong_K.:Long_W.
12920065|1|09/18/2013|Medmeme|Georgina||Cheng|University of Colorado Anschutz Medical Campus|Aurora, CO||||Behbakht_Kian:Spillman_Monique A.
12932529|1|10/16/2014|Medmeme|Curtis||Cooper|The Ottawa Hospital-General Campus|Ottawa ON||||
12936619|1|02/11/2015|Medmeme|Deborah||Covington|Bone Marrow Transplant, UNC Hospitals|Chapel Hill, NC||||Talbert_Gayl:Hinshaw_Betty:Odell_Patricia:Quigley_Wendy:Tye_Martha:Stinson_Paula:Elizabeth Sharf_S.:Rao_Kamakshi V.:Shea_Thomas C.
12920681|1|10/27/2012|Medmeme|Simon||Craddock Lee|UT Southwestern Harold C. Simmons Cancer Center|Dallas, TX||||Wiebe_Deborah J.:Sugg Skinner_Celette
12895501|1|02/21/2015|Medmeme|Madelaine||Daianu|Institute for Neuroimaging and Informatics|||United States||Jahanshad_Neda:Mendez_Mario F.:Bartzokis_George:Jimenez_Elvira E.:Thompson_Paul M.
12920250|1|01/20/2013|Medmeme|Tuyen T.||Dang|UT Southwestern Medical Center|Dallas, TX||||Pearson_Gray W.
12895300|1|02/21/2015|Medmeme|Shusil||Dangi|Rochester Institute of Technology|||United States||Ben-Zikri_Yehuda K.:Schwarz_Karl Q.:Cahill_Nathan:Linte_Cristian A.
12919902|1|10/03/2013|Medmeme|Columba||de la Parra|University of Puerto Rico Medical Sciences Campus|San Juan, PR||||Castillo-Pichardo_Linette:Cubano_Luis A.:Calin_George A.:Dharmawardhane_Suranganie
12936778|1|02/11/2015|Medmeme|Jocelyn||De Yao|Western Pennsylvania Cancer Institute, Allegheny Health Network|Pittsburgh, PA||||Sadashiv_Santhosh:Berteotti_Gina:Sahovic_Entezam A:Lister_John
12895334|1|02/21/2015|Medmeme|Salam||Dhou|Harvard Medical School|||United States||Hurwitz_Martina:Mishra_Pankaj:Lewis_John
12921968|1|02/04/2015|Medmeme|Lihi||Eder|Toronto Western Hospital|Toronto||||Haddad_Amir:Lee_Ker-Ai:Rosen_Cheryl:Chandran_Vinod:Cook_Richard:Gladman_Dafna
12940492|1|08/30/2014|Medmeme|Iman||Ehsan|NSHM College of Pharmaceutical Technology, NSHM Knowledge Campus, Kolkata Group of Institutions, 124, B.L. Saha Road|Kolkata-700082||||Biswas Majee_Sutapa
12895252|1|02/21/2015|Medmeme|Nastaran||Emaminejad|The Univ. of Oklahoma|||United States||Qian_Wei:Kang_Yan:Guan_Yubao:Zheng_Bin
12921884|1|02/04/2015|Medmeme|Paul||Emery|University of Leeds|Leeds||||Burmester_Gerd:Bykerk_Vivian:Combe_Bernard:Karyekar_Chetan:Furst_Daniel:Huizinga_Tom
